Mod:Item:MetaData, Localized Name
appliedenergistics2:quartz_pillar_stairs, 竖纹赛特斯石英楼梯
appliedenergistics2:cable_bus, AE2线缆和（或）总线
appliedenergistics2:sky_stone_slab:0, 陨石台阶
appliedenergistics2:smooth_sky_stone_slab:0, 陨石块台阶
appliedenergistics2:sky_stone_brick_slab:0, 陨石石砖台阶
appliedenergistics2:sky_stone_small_brick_slab:0, 陨石砖块台阶
appliedenergistics2:fluix_slab:0, 福鲁伊克斯台阶
appliedenergistics2:quartz_slab:0, 赛特斯石英台阶
appliedenergistics2:chiseled_quartz_slab:0, 錾制赛特斯石英台阶
appliedenergistics2:quartz_pillar_slab:0, 竖纹赛特斯石英台阶
appliedenergistics2:certus_quartz_axe, 赛特斯石英斧
appliedenergistics2:certus_quartz_hoe, 赛特斯石英锄
appliedenergistics2:certus_quartz_spade, 赛特斯石英锹
appliedenergistics2:certus_quartz_pickaxe, 赛特斯石英镐
appliedenergistics2:certus_quartz_sword, 赛特斯石英剑
appliedenergistics2:certus_quartz_wrench, 赛特斯石英扳手
appliedenergistics2:certus_quartz_cutting_knife, 赛特斯石英切割刀
appliedenergistics2:nether_quartz_axe, 下界石英斧
appliedenergistics2:nether_quartz_hoe, 下界石英锄
appliedenergistics2:nether_quartz_spade, 下界石英锹
appliedenergistics2:nether_quartz_pickaxe, 下界石英镐
appliedenergistics2:nether_quartz_sword, 下界石英剑
appliedenergistics2:nether_quartz_wrench, 下界石英扳手
appliedenergistics2:nether_quartz_cutting_knife, 下界石英切割刀
appliedenergistics2:entropy_manipulator, 熵变机械臂
appliedenergistics2:wireless_terminal, 无线终端
appliedenergistics2:charged_staff, 充能手杖
appliedenergistics2:matter_cannon, 物质炮
appliedenergistics2:portable_cell, 便携元件
appliedenergistics2:color_applicator, 染色器
appliedenergistics2:biometric_card, 身份卡
appliedenergistics2:memory_card, 内存卡
appliedenergistics2:network_tool, 网络工具
appliedenergistics2:creative_storage_cell, 创造型ME存储元件
appliedenergistics2:view_cell, 显示元件
appliedenergistics2:storage_cell_1k, 1k-ME存储元件
appliedenergistics2:storage_cell_4k, 4k-ME存储元件
appliedenergistics2:storage_cell_16k, 16k-ME存储元件
appliedenergistics2:storage_cell_64k, 64k-ME存储元件
appliedenergistics2:fluid_storage_cell_1k, 1k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_4k, 4k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_16k, 16k-ME流体存储元件
appliedenergistics2:fluid_storage_cell_64k, 64k-ME流体存储元件
appliedenergistics2:spatial_storage_cell_2_cubed, 2³-空间存储元件
appliedenergistics2:spatial_storage_cell_16_cubed, 16³-空间存储元件
appliedenergistics2:spatial_storage_cell_128_cubed, 128³-空间存储元件
appliedenergistics2:facade:0, 线缆伪装板 - 石头
appliedenergistics2:facade:0, 线缆伪装板 - 花岗岩
appliedenergistics2:facade:0, 线缆伪装板 - 磨制花岗岩
appliedenergistics2:facade:0, 线缆伪装板 - 闪长岩
appliedenergistics2:facade:0, 线缆伪装板 - 磨制闪长岩
appliedenergistics2:facade:0, 线缆伪装板 - 安山岩
appliedenergistics2:facade:0, 线缆伪装板 - 磨制安山岩
appliedenergistics2:facade:0, 线缆伪装板 - 草方块
appliedenergistics2:facade:0, 线缆伪装板 - 泥土
appliedenergistics2:facade:0, 线缆伪装板 - 砂土
appliedenergistics2:facade:0, 线缆伪装板 - 灰化土
appliedenergistics2:facade:0, 线缆伪装板 - 圆石
appliedenergistics2:facade:0, 线缆伪装板 - 橡木木板
appliedenergistics2:facade:0, 线缆伪装板 - 云杉木板
appliedenergistics2:facade:0, 线缆伪装板 - 白桦木板
appliedenergistics2:facade:0, 线缆伪装板 - 丛林木板
appliedenergistics2:facade:0, 线缆伪装板 - 金合欢木板
appliedenergistics2:facade:0, 线缆伪装板 - 深色橡木木板
appliedenergistics2:facade:0, 线缆伪装板 - 基岩
appliedenergistics2:facade:0, 线缆伪装板 - 沙子
appliedenergistics2:facade:0, 线缆伪装板 - 红沙
appliedenergistics2:facade:0, 线缆伪装板 - 沙砾
appliedenergistics2:facade:0, 线缆伪装板 - 金矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铁矿石
appliedenergistics2:facade:0, 线缆伪装板 - 煤矿石
appliedenergistics2:facade:0, 线缆伪装板 - 橡木
appliedenergistics2:facade:0, 线缆伪装板 - 云杉木
appliedenergistics2:facade:0, 线缆伪装板 - 白桦木
appliedenergistics2:facade:0, 线缆伪装板 - 丛林木
appliedenergistics2:facade:0, 线缆伪装板 - 橡树树叶
appliedenergistics2:facade:0, 线缆伪装板 - 云杉树叶
appliedenergistics2:facade:0, 线缆伪装板 - 白桦树叶
appliedenergistics2:facade:0, 线缆伪装板 - 丛林树叶
appliedenergistics2:facade:0, 线缆伪装板 - 海绵
appliedenergistics2:facade:0, 线缆伪装板 - 湿海绵
appliedenergistics2:facade:0, 线缆伪装板 - 玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 青金石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 青金石块
appliedenergistics2:facade:0, 线缆伪装板 - 砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 錾制砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 切制砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 白色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 橙色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 品红色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 黄色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 灰色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 青色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 紫色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 棕色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 绿色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 红色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 黑色羊毛
appliedenergistics2:facade:0, 线缆伪装板 - 金块
appliedenergistics2:facade:0, 线缆伪装板 - 铁块
appliedenergistics2:facade:0, 线缆伪装板 - 砖块
appliedenergistics2:facade:0, 线缆伪装板 - TNT
appliedenergistics2:facade:0, 线缆伪装板 - 橡木书架
appliedenergistics2:facade:0, 线缆伪装板 - 苔石
appliedenergistics2:facade:0, 线缆伪装板 - 黑曜石
appliedenergistics2:facade:0, 线缆伪装板 - 钻石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 钻石块
appliedenergistics2:facade:0, 线缆伪装板 - 工作台
appliedenergistics2:facade:0, 线缆伪装板 - 红石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 冰
appliedenergistics2:facade:0, 线缆伪装板 - 雪
appliedenergistics2:facade:0, 线缆伪装板 - 粘土块
appliedenergistics2:facade:0, 线缆伪装板 - 南瓜
appliedenergistics2:facade:0, 线缆伪装板 - 地狱岩
appliedenergistics2:facade:0, 线缆伪装板 - 灵魂沙
appliedenergistics2:facade:0, 线缆伪装板 - 荧石
appliedenergistics2:facade:0, 线缆伪装板 - 南瓜灯
appliedenergistics2:facade:0, 线缆伪装板 - 白色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 橙色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 品红色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 黄色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 灰色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 青色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 紫色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 棕色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 绿色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 红色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 黑色染色玻璃
appliedenergistics2:facade:0, 线缆伪装板 - 石头怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 圆石怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 石砖怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 苔石砖怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 裂石砖怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 錾制石砖怪物蛋
appliedenergistics2:facade:0, 线缆伪装板 - 石砖
appliedenergistics2:facade:0, 线缆伪装板 - 苔石砖
appliedenergistics2:facade:0, 线缆伪装板 - 裂石砖
appliedenergistics2:facade:0, 线缆伪装板 - 錾制石砖
appliedenergistics2:facade:0, 线缆伪装板 - 蘑菇
appliedenergistics2:facade:0, 线缆伪装板 - 蘑菇
appliedenergistics2:facade:0, 线缆伪装板 - 西瓜
appliedenergistics2:facade:0, 线缆伪装板 - 菌丝
appliedenergistics2:facade:0, 线缆伪装板 - 地狱砖
appliedenergistics2:facade:0, 线缆伪装板 - 末地石
appliedenergistics2:facade:0, 线缆伪装板 - 红石灯
appliedenergistics2:facade:0, 线缆伪装板 - 绿宝石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 绿宝石块
appliedenergistics2:facade:0, 线缆伪装板 - 红石块
appliedenergistics2:facade:0, 线缆伪装板 - 下界石英矿石
appliedenergistics2:facade:0, 线缆伪装板 - 石英块
appliedenergistics2:facade:0, 线缆伪装板 - 錾制石英块
appliedenergistics2:facade:0, 线缆伪装板 - 竖纹石英块
appliedenergistics2:facade:0, 线缆伪装板 - 白色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 橙色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 品红色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黄色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 灰色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 青色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 紫色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 棕色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 绿色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 红色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黑色陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 金合欢树叶
appliedenergistics2:facade:0, 线缆伪装板 - 深色橡树树叶
appliedenergistics2:facade:0, 线缆伪装板 - 金合欢木
appliedenergistics2:facade:0, 线缆伪装板 - 深色橡木
appliedenergistics2:facade:0, 线缆伪装板 - Green Slime Block
appliedenergistics2:facade:0, 线缆伪装板 - 海晶石
appliedenergistics2:facade:0, 线缆伪装板 - 海晶石砖
appliedenergistics2:facade:0, 线缆伪装板 - 暗海晶石
appliedenergistics2:facade:0, 线缆伪装板 - 海晶灯
appliedenergistics2:facade:0, 线缆伪装板 - 干草块
appliedenergistics2:facade:0, 线缆伪装板 - 陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 煤炭块
appliedenergistics2:facade:0, 线缆伪装板 - 浮冰
appliedenergistics2:facade:0, 线缆伪装板 - 红砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 錾制红砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 切制红砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 紫珀块
appliedenergistics2:facade:0, 线缆伪装板 - 竖纹紫珀块
appliedenergistics2:facade:0, 线缆伪装板 - 末地石砖
appliedenergistics2:facade:0, 线缆伪装板 - 岩浆块
appliedenergistics2:facade:0, 线缆伪装板 - 地狱疣块
appliedenergistics2:facade:0, 线缆伪装板 - 红色地狱砖
appliedenergistics2:facade:0, 线缆伪装板 - 骨块
appliedenergistics2:facade:0, 线缆伪装板 - 侦测器
appliedenergistics2:facade:0, 线缆伪装板 - 白色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 橙色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 品红色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黄色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 灰色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 青色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 紫色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 棕色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 绿色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 红色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 黑色带釉陶瓦
appliedenergistics2:facade:0, 线缆伪装板 - 白色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 橙色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 品红色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 黄色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 灰色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 青色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 紫色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 棕色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 绿色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 红色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 黑色混凝土
appliedenergistics2:facade:0, 线缆伪装板 - 白色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 橙色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 品红色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 黄色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 灰色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 青色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 紫色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 棕色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 绿色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 红色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 黑色混凝土粉末
appliedenergistics2:facade:0, 线缆伪装板 - 铜矿石
appliedenergistics2:facade:0, 线缆伪装板 - 锡矿石
appliedenergistics2:facade:0, 线缆伪装板 - 银矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铅矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铝矿石
appliedenergistics2:facade:0, 线缆伪装板 - 镍矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铂矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铱矿石
appliedenergistics2:facade:0, 线缆伪装板 - 蕴魔秘银矿石
appliedenergistics2:facade:0, 线缆伪装板 - 油砂
appliedenergistics2:facade:0, 线缆伪装板 - 油页岩
appliedenergistics2:facade:0, 线缆伪装板 - 不稳定红石矿石
appliedenergistics2:facade:0, 线缆伪装板 - 充能地狱岩
appliedenergistics2:facade:0, 线缆伪装板 - 谐振末影矿石
appliedenergistics2:facade:0, 线缆伪装板 - 油砂
appliedenergistics2:facade:0, 线缆伪装板 - 铜块
appliedenergistics2:facade:0, 线缆伪装板 - 锡块
appliedenergistics2:facade:0, 线缆伪装板 - 银块
appliedenergistics2:facade:0, 线缆伪装板 - 铅块
appliedenergistics2:facade:0, 线缆伪装板 - 铝块
appliedenergistics2:facade:0, 线缆伪装板 - 镍块
appliedenergistics2:facade:0, 线缆伪装板 - 铂块
appliedenergistics2:facade:0, 线缆伪装板 - 铱块
appliedenergistics2:facade:0, 线缆伪装板 - 蕴魔秘银块
appliedenergistics2:facade:0, 线缆伪装板 - 钢块
appliedenergistics2:facade:0, 线缆伪装板 - 琥珀金块
appliedenergistics2:facade:0, 线缆伪装板 - 殷钢块
appliedenergistics2:facade:0, 线缆伪装板 - 青铜块
appliedenergistics2:facade:0, 线缆伪装板 - 康铜块
appliedenergistics2:facade:0, 线缆伪装板 - 信素块
appliedenergistics2:facade:0, 线缆伪装板 - 流明块
appliedenergistics2:facade:0, 线缆伪装板 - 末影块
appliedenergistics2:facade:0, 线缆伪装板 - 木炭块
appliedenergistics2:facade:0, 线缆伪装板 - 焦炭块
appliedenergistics2:facade:0, 线缆伪装板 - 黑色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 红色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 绿色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 棕色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 紫色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 青色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 灰色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 黄色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 品红色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 橙色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 白色石棉
appliedenergistics2:facade:0, 线缆伪装板 - 龙矿石
appliedenergistics2:facade:0, 线缆伪装板 - 下界龙矿石
appliedenergistics2:facade:0, 线缆伪装板 - 末地龙矿石
appliedenergistics2:facade:0, 线缆伪装板 - 龙块
appliedenergistics2:facade:0, 线缆伪装板 - 充能龙块
appliedenergistics2:facade:0, 线缆伪装板 - 觉醒龙块
appliedenergistics2:facade:0, 线缆伪装板 - 注入龙力的黑曜石
appliedenergistics2:facade:0, 线缆伪装板 - 物品磁铁消磁器
appliedenergistics2:facade:0, 线缆伪装板 - 石柱
appliedenergistics2:facade:0, 线缆伪装板 - 安山岩柱
appliedenergistics2:facade:0, 线缆伪装板 - 闪长岩柱
appliedenergistics2:facade:0, 线缆伪装板 - 花岗岩柱
appliedenergistics2:facade:0, 线缆伪装板 - 板岩柱
appliedenergistics2:facade:0, 线缆伪装板 - 板岩
appliedenergistics2:facade:0, 线缆伪装板 - 板岩屋顶
appliedenergistics2:facade:0, 线缆伪装板 - 板岩瓦块
appliedenergistics2:facade:0, 线缆伪装板 - 板岩砖
appliedenergistics2:facade:0, 线缆伪装板 - 精雕板岩
appliedenergistics2:facade:0, 线缆伪装板 - 粘土框墙
appliedenergistics2:facade:0, 线缆伪装板 - 交叉粘土框墙
appliedenergistics2:facade:0, 线缆伪装板 - 对角粘土框墙
appliedenergistics2:facade:0, 线缆伪装板 - 白色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 橙色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 品红色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 淡蓝色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 黄色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 黄绿色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 粉红色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 灰色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 淡灰色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 青色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 紫色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 蓝色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 棕色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 绿色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 红色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 黑色彩绘木板
appliedenergistics2:facade:0, 线缆伪装板 - 沃土
appliedenergistics2:facade:0, 线缆伪装板 - 橄榄木木板
appliedenergistics2:facade:0, 线缆伪装板 - 铁树木板
appliedenergistics2:facade:0, 线缆伪装板 - 橄榄树原木
appliedenergistics2:facade:0, 线缆伪装板 - 铁树原木
appliedenergistics2:facade:0, 线缆伪装板 - 橄榄树树叶
appliedenergistics2:facade:0, 线缆伪装板 - 铁树树叶
appliedenergistics2:facade:0, 线缆伪装板 - 苹果树叶
appliedenergistics2:facade:0, 线缆伪装板 - 压缩工作台
appliedenergistics2:facade:0, 线缆伪装板 - 二重压缩工作台
appliedenergistics2:facade:0, 线缆伪装板 - 中子素块
appliedenergistics2:facade:0, 线缆伪装板 - 无尽块
appliedenergistics2:facade:0, 线缆伪装板 - 水晶矩阵
appliedenergistics2:facade:0, 线缆伪装板 - 末地苔石
appliedenergistics2:facade:0, 线缆伪装板 - 壤质土
appliedenergistics2:facade:0, 线缆伪装板 - 白沙
appliedenergistics2:facade:0, 线缆伪装板 - 白砂岩
appliedenergistics2:facade:0, 线缆伪装板 - 干沙
appliedenergistics2:facade:0, 线缆伪装板 - 硬化冰块
appliedenergistics2:facade:0, 线缆伪装板 - 灰
appliedenergistics2:facade:0, 线缆伪装板 - 泥巴
appliedenergistics2:facade:0, 线缆伪装板 - 肉
appliedenergistics2:facade:0, 线缆伪装板 - 仙域水晶
appliedenergistics2:facade:0, 线缆伪装板 - 生物精华矿石
appliedenergistics2:facade:0, 线缆伪装板 - 末影紫水晶矿石
appliedenergistics2:facade:0, 线缆伪装板 - 紫水晶块
appliedenergistics2:facade:0, 线缆伪装板 - 蜂房方块
appliedenergistics2:facade:0, 线缆伪装板 - 蜂蜜块
appliedenergistics2:facade:0, 线缆伪装板 - 竹块
appliedenergistics2:facade:0, 线缆伪装板 - 泥砖
appliedenergistics2:facade:0, 线缆伪装板 - 神圣橡木木板
appliedenergistics2:facade:0, 线缆伪装板 - 耐酸铝块
appliedenergistics2:facade:0, 线缆伪装板 - 锇荧黑曜合金块
appliedenergistics2:facade:0, 线缆伪装板 - 铱锇合金块
appliedenergistics2:facade:0, 线缆伪装板 - 地牢围墙
appliedenergistics2:facade:0, 线缆伪装板 - 地牢天花板
appliedenergistics2:facade:0, 线缆伪装板 - 地牢地板
appliedenergistics2:facade:0, 线缆伪装板 - 龟裂的地牢围墙
appliedenergistics2:facade:0, 线缆伪装板 - 龟裂的地牢天花板
appliedenergistics2:facade:0, 线缆伪装板 - 龟裂的地牢地板
appliedenergistics2:facade:0, 线缆伪装板 - 地牢地板屏障
appliedenergistics2:facade:0, 线缆伪装板 - 地牢灯
appliedenergistics2:facade:0, 线缆伪装板 - 损坏的地牢灯
appliedenergistics2:facade:0, 线缆伪装板 - 扫雷
appliedenergistics2:facade:0, 线缆伪装板 - 铜矿石
appliedenergistics2:facade:0, 线缆伪装板 - 锡矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铅矿石
appliedenergistics2:facade:0, 线缆伪装板 - 钍矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铀矿石
appliedenergistics2:facade:0, 线缆伪装板 - 硼矿石
appliedenergistics2:facade:0, 线缆伪装板 - 锂矿石
appliedenergistics2:facade:0, 线缆伪装板 - 镁矿石
appliedenergistics2:facade:0, 线缆伪装板 - 铜块
appliedenergistics2:facade:0, 线缆伪装板 - 锡块
appliedenergistics2:facade:0, 线缆伪装板 - 铅块
appliedenergistics2:facade:0, 线缆伪装板 - 钍块
appliedenergistics2:facade:0, 线缆伪装板 - 铀块
appliedenergistics2:facade:0, 线缆伪装板 - 硼块
appliedenergistics2:facade:0, 线缆伪装板 - 锂块
appliedenergistics2:facade:0, 线缆伪装板 - 镁块
appliedenergistics2:facade:0, 线缆伪装板 - 石墨块
appliedenergistics2:facade:0, 线缆伪装板 - 铍块
appliedenergistics2:facade:0, 线缆伪装板 - 锆块
appliedenergistics2:facade:0, 线缆伪装板 - 锰块
appliedenergistics2:facade:0, 线缆伪装板 - 铝块
appliedenergistics2:facade:0, 线缆伪装板 - 银块
appliedenergistics2:facade:0, 线缆伪装板 - 裂变反应堆外壳
appliedenergistics2:facade:0, 线缆伪装板 - 防爆方块
appliedenergistics2:facade:0, 线缆伪装板 - 空冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 水冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 红石冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 石英冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 金冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 荧石冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 青金石冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 钻石冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 液氦冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 末影冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 凛冰冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 铁冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 绿宝石冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 铜冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 锡冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 镁冷却器
appliedenergistics2:facade:0, 线缆伪装板 - 钍-230块
appliedenergistics2:facade:0, 线缆伪装板 - 铀-238块
appliedenergistics2:facade:0, 线缆伪装板 - 镎-237块
appliedenergistics2:facade:0, 线缆伪装板 - 钚-242块
appliedenergistics2:facade:0, 线缆伪装板 - 镅-243块
appliedenergistics2:facade:0, 线缆伪装板 - 锔-246块
appliedenergistics2:facade:0, 线缆伪装板 - 锫-247块
appliedenergistics2:facade:0, 线缆伪装板 - 锎-252块
appliedenergistics2:facade:0, 线缆伪装板 - 超冷冰
appliedenergistics2:facade:0, 线缆伪装板 - 聚变连接器
appliedenergistics2:facade:0, 线缆伪装板 - 荒地土
appliedenergistics2:facade:0, 线缆伪装板 - 氚灯
appliedenergistics2:facade:0, 线缆伪装板 - 铁砂
appliedenergistics2:facade:0, 线缆伪装板 - 瓦块
